Histogram (CPU):
17.402344 0 
17.441406 0 
17.480469 0 
17.519531 0 
17.558594 0 
17.597656 0 
17.636719 0 
17.675781 0 
17.714844 1 
17.753906 0 
17.792969 0 
17.832031 0 
17.871094 1 
17.910156 0 
17.949219 0 
17.988281 0 
18.027344 0 
18.066406 0 
18.105469 0 
18.144531 0 
18.183594 0 
18.222656 0 
18.261719 0 
18.300781 0 
18.339844 0 
18.378906 0 
18.417969 0 
18.457031 0 
18.496094 0 
18.535156 0 
18.574219 0 
18.613281 0 
18.652344 0 
18.691406 0 
18.730469 0 
18.769531 0 
18.808594 0 
18.847656 0 
18.886719 0 
18.925781 0 
18.964844 0 
19.003906 0 
19.042969 0 
19.082031 0 
19.121094 0 
19.160156 0 
19.199219 0 
19.238281 0 
19.277344 0 
19.316406 0 
19.355469 0 
19.394531 0 
19.433594 0 
19.472656 0 
19.511719 0 
19.550781 0 
19.589844 0 
19.628906 0 
19.667969 0 
19.707031 0 
19.746094 0 
19.785156 0 
19.824219 0 
19.863281 0 
19.902344 0 
19.941406 0 
19.980469 0 
